2,"000325175","MONSIEUR THIERRY JANOYER","TAHITI PERLES CREATION","61 RUE MARX DORMOY"
3,"005420021","ETABLISSEMENTS LUCIEN BIQUEZ","","21 B BOULEVARD DES PRES"
4,"005420120","SOCIETE DES SUCRERIES DU MARQUENTERRE","","RUE DE LA FONTAINE"
5,"005420120","SOCIETE DES SUCRERIES DU MARQUENTERRE","","12 ROUTE DE MONTREUIL"
6,"005420120","SOCIETE DES SUCRERIES DU MARQUENTERRE","","ROUTE NATIONALE"
7,"005420120","SOCIETE DES SUCRERIES DU MARQUENTERRE","","RUE DE LA GARE"
8,"005440110","MONSIEUR RENE CAMAU","","6 RUE FIRMIN GUICHARD"
9,"005440565","MONSIEUR LEONCE MICHEL","","PLACE DU GENERAL DE GAULLE"
10,"005450093","BASALPINE AUTOCARS","PASSIONNEMENT GLAMOUR","AVENUE DES THERMES"
11,"005450093","BASALPINE AUTOCARS","PASSIONNEMENT GLAMOUR","36 RUE GRANDE"
12,"005450119","LE GRAND CAFE ET GASSENDI","SAINT CHRISTOPHE","ROUTE DE MARSEILLE"
13,"005450119","LE GRAND CAFE ET GASSENDI","","3 BOULEVARD GASSENDI"
14,"005471800","MONSIEUR ALFIERO TURCHI","LA BAULE AMEUBLEMENT","ROUTE DE LA BAULE"
15,"005472980","MONSIEUR HENRI DOCEUL","","BOURG "
16,"005473202","MONSIEUR HENRI MARTIN","","5 RUE DU DOCTEUR JANVIER"
17,"005474960","MADAME MARIA BRAKL","","86 RUE JEAN GUTENBERG"
18,"005480546","SOCIETE DE DISTRIBUTION DE PAPIER","","LENIPHEN"
19,"005520028","ETABLISSEMENTS SUEUR ET FILS","","RUE AMBROISE CROIZAT"
20,"005520077","ETABLISSEMENTS MERCIER","","13 RUE GAMBETTA"
21,"005520176","HERNAS CARTONNAGE","","50 RUE PASTEUR"
22,"005520176","HERNAS CARTONNAGE","",""
23,"005520242","PROSPA","","3 RUE DU 43 RIC"
24,"005520325","ETABLISSEMENTS ADRIEN RIQUIER","","12 RUE HENRI BARBUSSE"
25,"005540273","MONSIEUR PAUL POILROUX","","7 PLACE FRANCOIS BERAUD"
26,"005540661","MADAME MARIE AVON","","34 BOULEVARD GASSENDI"
27,"005541206","MONSIEUR ANDRE RIZZO","","LE RAGOT"
28,"005541438","MONSIEUR GILBERT CHASPOUL","","RUE VALLON DE FARINE"
29,"005541552","ETABLISSEMENTS BONNET FRERES","HOTEL DU VERDON",""
30,"005541552","ETABLISSEMENTS BONNET FRERES","LE SYMPA SNACK","L AIGUILLE"
31,"005541867","MONSIEUR ROBERT JAUFFRET","","QUAI DES 4 CHEMINS"
32,"005550108","EMILE BARNEAUD ET FILS","","PLACE D ARMES"
33,"005577325","MONSIEUR ANDRE BARON","","32 RUE SAINT MICHEL"
34,"005580113","L ABRI FAMILIAL","N 26 AU N 30","30 AVENUE LEON BLUM"
35,"005580436","BAUDINVEST","","RUE SAINT FIACRE"
36,"005580501","SOC GLACIERES FRIGO SAINT NAZAIRE","STEF","QUAI DU COMMERCE"
37,"005580501","SOC GLACIERES FRIGO SAINT NAZAIRE","STEF LOGISTIQUE","93 BOULEVARD MALESHERBES"
38,"005611074","MONSIEUR GERARD BOURGEOIS","","88 FG SUR SOMME"
39,"005620034","ETABLISSEMENTS ROGER","ETS ROGER BIG MAT","4 BOULEVARD DE LA REPUBLIQUE"
40,"005620034","ETABLISSEMENTS ROGER","ETS ROGER BIG MAT","ZI LOUIS DELAPORTE"
41,"005620117","ETABLISSEMENTS DUBOIS","DUBOIS","12 RUE DE LA TANNERIE"
42,"005620117","ETABLISSEMENTS DUBOIS","","17 RUE DE METZ"
43,"005620158","SNC BARRE","GOLF MINIATURE DE QUEND PLAGE","46 AVENUE HENRI RENARD"
44,"005620174","SOCIETE RIQUIER ET CIE","","27 ROUTE DE CHAUNY"
45,"005620174","SOCIETE RIQUIER ET CIE","","22 RUE DE LA VALLEE"
46,"005620190","L OISEAU BLEU","","FERME SAINTE CROIX"
47,"005620190","L OISEAU BLEU","","ROUTE DES 2 VALLEES"
48,"005620281","DEGOMME PIERRE","","RUE DES MINIMES"
49,"005640602","MONSIEUR ROGER TORMENTO","","LE VILLAGE"
50,"005640602","MONSIEUR ROGER TORMENTO","","ESF DU SAUZE"
51,"005641154","MONSIEUR EMILE SICARD","LA CROISETTE",""
52,"005650031","SARL RIGAULT ET CIE","","QUARTIER QUARTIER DE LA BEITE"
53,"005650031","SARL RIGAULT ET CIE","GARE DES CHEMINS DE FER DE PROVENCE","ZONE DE LA GARE"
54,"005650148","SCIC VALDURANCE HABITAT","","2 RUE DU DOCTEUR SIMON PIETRI"
55,"005670062","MONSIEUR ROGER LE MASSON","","31 AVENUE DU GENERAL DE GAULLE"
56,"005671870","MADAME MARIE NOGUES","LE PONT BLANC","17 FAUBOURG SAINT MICHEL"
57,"005673348","MADAME ROLANDE SEHIER","","66 AVENUE DU GENERAL DE GAULLE"
58,"005675459","MONSIEUR JEAN NOBLET","","7 RUE NANTAISE"
